candidate_offset_m,candidate_east_m,candidate_north_m,sat_id,system,prn,azimuth_deg,elevation_deg,candidate_lat_deg,candidate_lon_deg,candidate_height_m,rho_authorized_m,rho_candidate_m,delta_range_m
0,0,0,C34,BeiDou,34,50.0722688709258,39.7023083999749,35.77204196,120.0247721,92.8890000013635,23396552.8867504,23396552.8867504,0
0,0,0,C37,BeiDou,37,306.968984264072,15.7499045830938,35.77204196,120.0247721,92.8890000013635,25493880.450748,25493880.450748,0
0,0,0,C39,BeiDou,39,153.43642645435,69.0364610901,35.77204196,120.0247721,92.8890000013635,36039266.8422315,36039266.8422315,0
0,0,0,C40,BeiDou,40,238.133449063876,72.4681184959734,35.77204196,120.0247721,92.8890000013635,36192655.7807945,36192655.7807945,0
0,0,0,C43,BeiDou,43,160.638437431094,71.7652213525373,35.77204196,120.0247721,92.8890000013635,21763790.8028218,21763790.8028218,0
0,0,0,C59,BeiDou,59,150.975112118705,37.7551272316461,35.77204196,120.0247721,92.8890000013635,37954498.6140817,37954498.6140817,0
0,0,0,C60,BeiDou,60,229.733315756187,25.1663962814292,35.77204196,120.0247721,92.8890000013635,39038847.4585085,39038847.4585085,0
0,0,0,R04,GLONASS,4,247.668515053882,10.0570538203373,35.77204196,120.0247721,92.8890000013635,23592884.7342277,23592884.7342277,0
0,0,0,R05,GLONASS,5,295.021669674052,14.9462891545334,35.77204196,120.0247721,92.8890000013635,23116116.7128216,23116116.7128216,0
0,0,0,R06,GLONASS,6,341.024363427504,1.83260068699633,35.77204196,120.0247721,92.8890000013635,24521188.8106176,24521188.8106176,0
0,0,0,R13,GLONASS,13,97.7282924648508,29.6521405491911,35.77204196,120.0247721,92.8890000013635,21743193.0307697,21743193.0307697,0
0,0,0,R14,GLONASS,14,13.8945961196384,60.124291456179,35.77204196,120.0247721,92.8890000013635,19792590.9594543,19792590.9594543,0
0,0,0,R15,GLONASS,15,316.592767508527,23.1294782499385,35.77204196,120.0247721,92.8890000013635,22346885.3518361,22346885.3518361,0
0,0,0,R17,GLONASS,17,186.585700385426,29.0214422237461,35.77204196,120.0247721,92.8890000013635,21805510.4695397,21805510.4695397,0
0,0,0,R23,GLONASS,23,30.5839515668123,21.8599485900877,35.77204196,120.0247721,92.8890000013635,22452578.5925114,22452578.5925114,0
0,0,0,R24,GLONASS,24,111.656726369445,70.3295215593278,35.77204196,120.0247721,92.8890000013635,19433990.9410624,19433990.9410624,0
